scenario_id,scenario_label,episode,outcome_bucket,retrieval_count,episode_total,retrieval_share
oracle_v3,Oracle v3,0,NEGATIVE,106,330,0.3212121212121212
oracle_v3,Oracle v3,0,POSITIVE,224,330,0.6787878787878788
oracle_v3,Oracle v3,1,NEGATIVE,165,360,0.4583333333333333
oracle_v3,Oracle v3,1,POSITIVE,195,360,0.5416666666666666
oracle_v3,Oracle v3,2,NEGATIVE,22,360,0.06111111111111111
oracle_v3,Oracle v3,2,NEUTRAL,11,360,0.030555555555555555
oracle_v3,Oracle v3,2,POSITIVE,327,360,0.9083333333333333
oracle_v3,Oracle v3,3,NEGATIVE,26,360,0.07222222222222222
oracle_v3,Oracle v3,3,NEUTRAL,45,360,0.125
oracle_v3,Oracle v3,3,POSITIVE,289,360,0.8027777777777778
oracle_v3,Oracle v3,4,NEGATIVE,54,360,0.15
oracle_v3,Oracle v3,4,NEUTRAL,25,360,0.06944444444444445
oracle_v3,Oracle v3,4,POSITIVE,281,360,0.7805555555555556
oracle_v3,Oracle v3,5,NEGATIVE,17,360,0.04722222222222222
oracle_v3,Oracle v3,5,POSITIVE,343,360,0.9527777777777777
oracle_v3,Oracle v3,6,NEGATIVE,78,360,0.21666666666666667
oracle_v3,Oracle v3,6,POSITIVE,282,360,0.7833333333333333
oracle_v3,Oracle v3,7,NEGATIVE,141,360,0.39166666666666666
oracle_v3,Oracle v3,7,POSITIVE,219,360,0.6083333333333333
oracle_v3,Oracle v3,8,NEGATIVE,138,360,0.38333333333333336
oracle_v3,Oracle v3,8,POSITIVE,222,360,0.6166666666666667
oracle_v3,Oracle v3,9,NEGATIVE,175,360,0.4861111111111111
oracle_v3,Oracle v3,9,POSITIVE,185,360,0.5138888888888888
oracle_v3,Oracle v3,10,NEGATIVE,87,360,0.24166666666666667
oracle_v3,Oracle v3,10,POSITIVE,273,360,0.7583333333333333
oracle_v3,Oracle v3,11,NEGATIVE,159,360,0.44166666666666665
oracle_v3,Oracle v3,11,POSITIVE,201,360,0.5583333333333333
oracle_v3,Oracle v3,12,NEGATIVE,63,360,0.175
oracle_v3,Oracle v3,12,NEUTRAL,3,360,0.008333333333333333
oracle_v3,Oracle v3,12,POSITIVE,294,360,0.8166666666666667
oracle_v3,Oracle v3,13,NEGATIVE,111,360,0.30833333333333335
oracle_v3,Oracle v3,13,POSITIVE,249,360,0.6916666666666667
oracle_v3,Oracle v3,14,NEGATIVE,89,360,0.24722222222222223
oracle_v3,Oracle v3,14,POSITIVE,271,360,0.7527777777777778
oracle_v3,Oracle v3,15,NEGATIVE,84,360,0.23333333333333334
oracle_v3,Oracle v3,15,POSITIVE,276,360,0.7666666666666667
oracle_v3,Oracle v3,16,NEGATIVE,61,360,0.16944444444444445
oracle_v3,Oracle v3,16,POSITIVE,299,360,0.8305555555555556
oracle_v3,Oracle v3,17,NEGATIVE,34,360,0.09444444444444444
oracle_v3,Oracle v3,17,POSITIVE,326,360,0.9055555555555556
oracle_v3,Oracle v3,18,NEGATIVE,3,360,0.008333333333333333
oracle_v3,Oracle v3,18,POSITIVE,357,360,0.9916666666666667
oracle_v3,Oracle v3,19,NEGATIVE,20,360,0.05555555555555555
oracle_v3,Oracle v3,19,POSITIVE,340,360,0.9444444444444444
oracle_v3,Oracle v3,20,NEGATIVE,31,360,0.08611111111111111
oracle_v3,Oracle v3,20,POSITIVE,329,360,0.9138888888888889
oracle_v3,Oracle v3,21,NEGATIVE,82,360,0.22777777777777777
oracle_v3,Oracle v3,21,POSITIVE,278,360,0.7722222222222223
oracle_v3,Oracle v3,22,NEGATIVE,23,360,0.06388888888888888
oracle_v3,Oracle v3,22,POSITIVE,337,360,0.9361111111111111
oracle_v3,Oracle v3,23,NEGATIVE,55,360,0.1527777777777778
oracle_v3,Oracle v3,23,POSITIVE,305,360,0.8472222222222222
oracle_v3,Oracle v3,24,NEGATIVE,37,360,0.10277777777777777
oracle_v3,Oracle v3,24,POSITIVE,323,360,0.8972222222222223
oracle_v3,Oracle v3,25,NEGATIVE,75,360,0.20833333333333334
oracle_v3,Oracle v3,25,POSITIVE,285,360,0.7916666666666666
oracle_v3,Oracle v3,26,NEGATIVE,127,360,0.3527777777777778
oracle_v3,Oracle v3,26,POSITIVE,233,360,0.6472222222222223
oracle_v3,Oracle v3,27,NEGATIVE,53,360,0.14722222222222223
oracle_v3,Oracle v3,27,POSITIVE,307,360,0.8527777777777777
oracle_v3,Oracle v3,28,NEGATIVE,63,360,0.175
oracle_v3,Oracle v3,28,POSITIVE,297,360,0.825
oracle_v3,Oracle v3,29,NEGATIVE,39,360,0.10833333333333334
oracle_v3,Oracle v3,29,POSITIVE,321,360,0.8916666666666667
oracle_v3,Oracle v3,30,NEGATIVE,73,360,0.20277777777777778
oracle_v3,Oracle v3,30,POSITIVE,287,360,0.7972222222222223
oracle_v3,Oracle v3,31,NEGATIVE,82,360,0.22777777777777777
oracle_v3,Oracle v3,31,POSITIVE,278,360,0.7722222222222223
oracle_v3,Oracle v3,32,NEGATIVE,126,360,0.35
oracle_v3,Oracle v3,32,POSITIVE,234,360,0.65
oracle_v3,Oracle v3,33,NEGATIVE,86,360,0.2388888888888889
oracle_v3,Oracle v3,33,POSITIVE,274,360,0.7611111111111111
oracle_v3,Oracle v3,34,NEGATIVE,28,360,0.07777777777777778
oracle_v3,Oracle v3,34,POSITIVE,332,360,0.9222222222222223
oracle_v3,Oracle v3,35,NEGATIVE,100,360,0.2777777777777778
oracle_v3,Oracle v3,35,POSITIVE,260,360,0.7222222222222222
oracle_v3,Oracle v3,36,NEGATIVE,35,360,0.09722222222222222
oracle_v3,Oracle v3,36,POSITIVE,325,360,0.9027777777777778
oracle_v3,Oracle v3,37,NEGATIVE,9,360,0.025
oracle_v3,Oracle v3,37,POSITIVE,351,360,0.975
oracle_v3,Oracle v3,38,NEGATIVE,42,360,0.11666666666666667
oracle_v3,Oracle v3,38,POSITIVE,318,360,0.8833333333333333
oracle_v3,Oracle v3,39,NEGATIVE,107,360,0.2972222222222222
oracle_v3,Oracle v3,39,POSITIVE,253,360,0.7027777777777777
oracle_v3,Oracle v3,40,NEGATIVE,22,360,0.06111111111111111
oracle_v3,Oracle v3,40,POSITIVE,338,360,0.9388888888888889
oracle_v3,Oracle v3,41,NEGATIVE,50,360,0.1388888888888889
oracle_v3,Oracle v3,41,POSITIVE,310,360,0.8611111111111112
oracle_v3,Oracle v3,42,NEGATIVE,50,360,0.1388888888888889
oracle_v3,Oracle v3,42,POSITIVE,310,360,0.8611111111111112
oracle_v3,Oracle v3,43,NEGATIVE,33,360,0.09166666666666666
oracle_v3,Oracle v3,43,POSITIVE,327,360,0.9083333333333333
oracle_v3,Oracle v3,44,NEGATIVE,114,360,0.31666666666666665
oracle_v3,Oracle v3,44,POSITIVE,246,360,0.6833333333333333
oracle_v3,Oracle v3,45,NEGATIVE,108,360,0.3
oracle_v3,Oracle v3,45,POSITIVE,252,360,0.7
oracle_v3,Oracle v3,46,NEGATIVE,73,360,0.20277777777777778
oracle_v3,Oracle v3,46,POSITIVE,287,360,0.7972222222222223
oracle_v3,Oracle v3,47,NEGATIVE,156,360,0.43333333333333335
oracle_v3,Oracle v3,47,POSITIVE,204,360,0.5666666666666667
oracle_v3,Oracle v3,48,NEGATIVE,59,360,0.1638888888888889
oracle_v3,Oracle v3,48,POSITIVE,301,360,0.8361111111111111
oracle_v3,Oracle v3,49,NEGATIVE,31,360,0.08611111111111111
oracle_v3,Oracle v3,49,POSITIVE,329,360,0.9138888888888889
oracle_v3,Oracle v3,50,NEGATIVE,109,360,0.30277777777777776
oracle_v3,Oracle v3,50,POSITIVE,251,360,0.6972222222222222
oracle_v3,Oracle v3,51,NEGATIVE,78,360,0.21666666666666667
oracle_v3,Oracle v3,51,POSITIVE,282,360,0.7833333333333333
oracle_v3,Oracle v3,52,NEGATIVE,12,360,0.03333333333333333
oracle_v3,Oracle v3,52,POSITIVE,348,360,0.9666666666666667
oracle_v3,Oracle v3,53,NEGATIVE,23,360,0.06388888888888888
oracle_v3,Oracle v3,53,POSITIVE,337,360,0.9361111111111111
oracle_v3,Oracle v3,54,NEGATIVE,46,360,0.12777777777777777
oracle_v3,Oracle v3,54,POSITIVE,314,360,0.8722222222222222
oracle_v3,Oracle v3,55,NEGATIVE,3,360,0.008333333333333333
oracle_v3,Oracle v3,55,POSITIVE,357,360,0.9916666666666667
oracle_v3,Oracle v3,56,NEGATIVE,144,360,0.4
oracle_v3,Oracle v3,56,POSITIVE,216,360,0.6
oracle_v3,Oracle v3,57,NEGATIVE,115,360,0.3194444444444444
oracle_v3,Oracle v3,57,POSITIVE,245,360,0.6805555555555556
oracle_v3,Oracle v3,58,NEGATIVE,43,360,0.11944444444444445
oracle_v3,Oracle v3,58,POSITIVE,317,360,0.8805555555555555
oracle_v3,Oracle v3,59,NEGATIVE,34,360,0.09444444444444444
oracle_v3,Oracle v3,59,POSITIVE,326,360,0.9055555555555556
oracle_v3,Oracle v3,60,NEGATIVE,86,360,0.2388888888888889
oracle_v3,Oracle v3,60,POSITIVE,274,360,0.7611111111111111
oracle_v3,Oracle v3,61,NEGATIVE,11,360,0.030555555555555555
oracle_v3,Oracle v3,61,POSITIVE,349,360,0.9694444444444444
oracle_v3,Oracle v3,62,NEGATIVE,62,360,0.17222222222222222
oracle_v3,Oracle v3,62,POSITIVE,298,360,0.8277777777777777
oracle_v3,Oracle v3,63,NEGATIVE,54,360,0.15
oracle_v3,Oracle v3,63,NEUTRAL,5,360,0.013888888888888888
oracle_v3,Oracle v3,63,POSITIVE,301,360,0.8361111111111111
oracle_v3,Oracle v3,64,NEGATIVE,35,360,0.09722222222222222
oracle_v3,Oracle v3,64,POSITIVE,325,360,0.9027777777777778
oracle_v3,Oracle v3,65,NEGATIVE,69,360,0.19166666666666668
oracle_v3,Oracle v3,65,POSITIVE,291,360,0.8083333333333333
oracle_v3,Oracle v3,66,NEGATIVE,73,360,0.20277777777777778
oracle_v3,Oracle v3,66,POSITIVE,287,360,0.7972222222222223
oracle_v3,Oracle v3,67,NEGATIVE,30,360,0.08333333333333333
oracle_v3,Oracle v3,67,POSITIVE,330,360,0.9166666666666666
oracle_v3,Oracle v3,68,NEGATIVE,22,360,0.06111111111111111
oracle_v3,Oracle v3,68,POSITIVE,338,360,0.9388888888888889
oracle_v3,Oracle v3,69,NEGATIVE,76,360,0.2111111111111111
oracle_v3,Oracle v3,69,POSITIVE,284,360,0.7888888888888889
oracle_v3,Oracle v3,70,NEGATIVE,8,360,0.022222222222222223
oracle_v3,Oracle v3,70,POSITIVE,352,360,0.9777777777777777
oracle_v3,Oracle v3,71,NEGATIVE,45,360,0.125
oracle_v3,Oracle v3,71,POSITIVE,315,360,0.875
oracle_v3,Oracle v3,72,NEGATIVE,71,360,0.19722222222222222
oracle_v3,Oracle v3,72,POSITIVE,289,360,0.8027777777777778
oracle_v3,Oracle v3,73,NEGATIVE,42,360,0.11666666666666667
oracle_v3,Oracle v3,73,POSITIVE,318,360,0.8833333333333333
oracle_v3,Oracle v3,74,NEGATIVE,17,360,0.04722222222222222
oracle_v3,Oracle v3,74,POSITIVE,343,360,0.9527777777777777
